name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
Master Whey Isolate,Нарастить массу,Протеины,Россия,1000,50.0,,1600,,,,,,1010.0,2000324754892,,,,,,
Dessert's Day,Восстановление,Протеины,Россия,500,10.0,,830,,,,,,650.0,2000324805808,,,,,,
Premium WPC 80,Восстановление,Протеины,Польша,700,23.0,,1390,,,,,,844.0,5901947664124,,,,,,
100% Micellar Casein,Нарастить массу,Протеины,Россия,908,30.0,,1180,,,,,,,4631140761610,"Promilk Kappa Optimum 85 (мицелярный казеин 92%, сывороточный белок 8%), ароматизатор пищевой идентичный натуральному, соль пищевая, сукралоза . Аллергены: продукт содержит молоко и его производные, включая лактозу",,,,,
100% Premium Whey Protein Plus,Восстановление,Протеины,США,2267,70.0,,3490,,,,,,2330.0,631656702842,,,,,,
Nitro Peak Protein,Восстановление,Протеины,США,2000,50.0,,3970,,,,,,2190.0,183859251141,,,,,,
Regular WPC 80,Восстановление,Протеины,Польша,750,25.0,,1190,,,,,,854.0,5901947663622,,,,,,
Matriza,Восстановление,Протеины,США,900,30.0,,1390,,,,,,1100.0,852574004812,,,,,,
"Activlab Whey 95, 700 г",Восстановление,Протеины,Польша,700,23.0,24.0,1190,,порошок,,мужчин и женщин,,780.0,5907368877778,"Концентрат сывороточного белка 95%, ароматы, регулятор кислотности: лимонная кислота, загустители вещества: E466, подслащивающие вещества: системы e950 и Е951, красители: Е124 (вкус клубники),Е171 (ванильный вкус). Содержит источник фенилаланина. Продукт может содержать производные молока, яиц, соевых бобов и пшеницы.",,,,,
100% Casein Protein,Восстановление,Протеины,Германия,750,30.0,,1960,,,,,,2365.0,,,,,,,
Whey Protein Light Digest,Восстановление,Протеины,Бельгия,500,25.0,,1790,,,,,,654.0,5425002407810,,,,,,
Протеин СПЕЦНАЗ,Восстановление,Протеины,Россия,1000,33.0,,990,,,,,,,4603727960822,,,,,,
Protein Spread,Восстановление,Правильное питание,Великобритания,250,16.0,,480,,,,,,350.0,5060255356937,,,,,,
ISO Whey Pro,Нарастить массу,Протеины,США,2270,73.0,,4590,,,,,,2450.0,710779113008,,,,,,
Whey instant,Нарастить массу,Протеины,Россия,1000,28.0,,1590,,,,,,1250.0,4603725738553,,,,,,
Premium Dessert,Нарастить массу,Протеины,Польша,700,23.0,,1490,,,,,,854.0,5901947660256,,,,,,
25 Whey Protein,Восстановление,Протеины,США,908,27.0,,1350,,,,,,1085.0,747906213690,,,,,,
100% Casein,Восстановление,Протеины,Россия,454,13.0,,740,,,,,,480.0,4600778006219,"Мицеллярный казеин, лецитин, загуститель (ксантановая камедь), ароматизатор идентичный натуральному, поваренная соль, подсластитель сукралоза, трикальцийфосфат",,,,,
Essential 100% Iso Whey,Восстановление,Протеины,США,780,24.0,,2360,,,,,,,631656705454,,,,,,
Complex protein,Восстановление,Протеины,Россия,2270,65.0,,2490,,,,,,2500.0,4600778002990,,,,,,
WHEY 80,Нарастить массу,Протеины,Россия,2000,55.0,,2390,,,,,,,4600778006417,,,,,,
Fast Whey Protein,Восстановление,Протеины,Россия,1800,60.0,,1958,,,,,,,4631136848820,,,,,,
ISO Whey Pro,Нарастить массу,Протеины,США,2270,73.0,,4590,,,,,,2450.0,710779112988,,,,,,
Casein Complex,Восстановление,Протеины,Венгрия,2350,78.0,,3990,,,,,,2690.0,728633108381,,,,,,
Fit Protein,Восстановление,Протеины,США,500,1.0,,290,,,,,,,4006643146132,,,,,,
Problend,Восстановление,Протеины,Германия,908,21.0,,1640,,,,,,1100.0,852574004140,,,,,,
Vitargo,Нарастить массу,Углеводы,Польша,70,1.0,,160,,,,,,72.0,2000324750993,,,,,,
"Протеин ActivLab Whey 95, 1500 г",Восстановление,Протеины,Польша,1500,50.0,24.0,2190,,порошок,,мужчин и женщин,,1800.0,5907368877792,"Концентрат сывороточного белка 95%, ароматы, регулятор кислотности: лимонная кислота, загустители вещества: E466, подслащивающие вещества: системы e950 и Е951, красители: Е124 (вкус клубники),Е171 (ванильный вкус). Содержит источник фенилаланина. Продукт может содержать производные молока, яиц, соевых бобов и пшеницы.",,,,,
Regular WPC 80,Нарастить массу,Протеины,Польша,750,25.0,,1190,,,,,,854.0,5901947662021,"концентрат сывороточного белка, какао, ароматизатор, регулятор кислотности-лимонная кислота, соль, сахарозаменители- сукралоза, стевиол-гликозиды",,,,,
Протеин без добавок,Восстановление,Протеины,Россия,900,30.0,,1188,,,,,,,4600778009050,,,,,,
Complex protein,Восстановление,Протеины,Россия,2270,65.0,,2490,,,,,,2500.0,4600778003553,"Концентрат сывороточного белка (WPC-80), мицеллярный казеин (MPC-85), изолят сывороточного белка (WPI-85), яичный альбумин, лецитин, загуститель (ксантановая камедь), ароматизатор идентичный натуральному, поваренная соль, подсластитель сукралоза",,,,,
"Протеин Atech Nutrition Protein 5 Complete, 924 г",Восстановление,Протеины,Россия,924,28.0,24.0,1140,,порошок,,,,,4630019670343,"протеиновая смесь (ультрамикрофильтрованный изолят молочной сыворотки, ультрамикрофильтрованный концентрат молочной сыворотки, неденатурированный концентрат молочного белка, мицеллярный казеин, неденатурированный яичный белок), натуральные и идентичные натуральным ароматизаторы, кармин, стабилизатор Е1450, сукралоза, неотам.",,,,,
Protein Mousse,Восстановление,Заменители пищи,Великобритания,330,11.0,,1148,,,,,,350.0,5060255355725,,,,,,
ISO Whey 100%,Восстановление,Протеины,Россия,900,30.0,,1828,,,,,,,4631136850403,"изолят сывороточного белка, алкализованный какао порошок (шоколадные вкусы), ксантановая камедь (эмульгатор), ароматизаторы натуральные и идентичные натуральным, подсластители (ацесульфам калия, сукралоза).",,,,,
Coffee Ice Protein,Нарастить массу,Протеины,Россия,500,14.0,,890,,,,,,650.0,4603725738980,,,,,,
ISO+,Восстановление,Протеины,Италия,900,30.0,,3490,,,,,,,8000000001306,,,,,,
Whey Pump Xtreme,Восстановление,Протеины,Польша,600,20.0,,1120,,,,,,800.0,5901828347559,,,,,,
ISO Whey 100%,Восстановление,Протеины,Россия,900,30.0,,1828,,,,,,,4631136850410,,,,,,
Colossus Protein,Нарастить массу,Протеины,Испания,1000,20.0,,1350,,,,,,1200.0,8436035238866,"Концентрированный сывороточный протеин , изолированный соевый белок , мальтодекстрин , фруктоза , L-глицин , креатин , аромат, L-глутамин , соевый лецитин , таурин , подсластители ( Сахарин , сукралоза )",,,,,
Whey Creamy Cocktail,Восстановление,Протеины,Польша,2275,75.0,,3919,,,,,,2500.0,5901828348990,,,,,,
100 % Protein WHEY pro series,Нарастить массу,Протеины,Россия,1000,35.0,,1490,,,,,,1200.0,4603725738447,"концентрат сывороточного белка, натуральный какао-порошок (только для вкуса шоколад), витаминный премикс, ароматизатор, антислеживающий агент - диоскид кремния, лецитин, подсластитель сукралоза",,,,,
Multi Protein,Восстановление,Протеины,Россия,900,30.0,,1260,,,,,,1120.0,4603733078238,,,,,,
Organic Rice Protein (рисовый протеин),Нарастить массу,Протеины,Россия,250,12.0,,880,,,,,,,4631141300085,100% органический порошок из риса,,,,,
Protein Isolate 2,Восстановление,Протеины,США,840,28.0,,1790,,,,,,,2000324777907,,,,,,
Carbo Nox,Нарастить массу,Углеводы,Польша,1000,200.0,,690,,,,,,1200.0,5901330038303,"мальтодекстрин,глюкоза, изомальтулоза, ароматизаторы, регуляторы кислотности Е330 лимоннвя кислота, Е296 яблочная кислота, подсластители Е950 ацесульфам К, Е955 сукралоза",,,,,
Dietelle Delight (Протеиновый пудинг),Восстановление,Протеины,Россия,2,2.0,,200,,,,,,500.0,4601164002402,"Изолят сывороточного белка, молоко сухое обезжиренное, какао-порошок, инулин, растворимые пищевые волокна сукралоза (подсластитель).",,,,,
Lean Pro 8,Нарастить массу,Протеины,США,1300,26.0,,1980,,,,,,1480.0,710779112766,,,,,,
