name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Вид белка,Форма выпуска,Диетические особенности,Подходит для,Белок: грамм в 1 порции,"Вес нетто, г",Штрихкод,Ингредиенты,Витамины,Форма креатина,Минералы,Материал,Вид омега-3
Протеин Иван-Поле tobePRO Whey 1000 г,"Нарастить массу, Сбросить вес, Мужское здоровье, Женское здоровье",Протеины,Россия,1000,33.0,12.0,1306,Сывороточный концентрат,порошок,"без ГМО, без аспартама, без глютена",мужчин и женщин,22.0,1000.0,4660019975377,"Концентрат сывороточного белка, концентрат молочного белка, какао порошок алкализованный, подсластитель сахаринат натрия, ароматизатор, соль.",,,,,
Углеводы Amylopectin,Нарастить массу,Углеводы,Россия,1000,30.0,24.0,740,,порошок,вегетарианский,мужчин,,1150.0,4603721370672,амилопектиновый крахмал восковидной кукурузы.,,,,,
Протеин Scitec Nutrition 100% Hydrolized Whey Protein (гидролизат) 2030 г,"Нарастить массу, Сбросить вес, Восстановление",Протеины,Венгрия,2030,58.0,24.0,9080,Сывороточный гидролизат,порошок,"без консервантов, без красителей",мужчин и женщин,28.0,2200.0,5999100003750,"гидролизованный изолят сывороточного протеина (из молока, специально обработан соевый лецитин), гидролизованный концентрат сывороточного белка (из молока, специально обработан соевый лецитин), ароматизаторы, подсластители (сукралоза, ацесульфам-К), хлорид натрия,ароматизаторы",,,,,
Soya Protein,Нарастить массу,Протеины,Германия,750,,,1150,,,,,,,4006643110614,,,,,,
Hardcore Gain 21,Восстановление,Гейнеры,Чехия,3000,66.0,,2410,,,,,,,8590291020136,,,,,,
Protein Smoothie,Восстановление,Протеины,Венгрия,330,1.0,,190,,,,,,,2000324841202,"Вода,протеиновый молочный концентрат,апельсиновый сок, сок голубики, сок черники,стабилизатор (пектин,гуаровая камедь),красители-морковь,гибискус,подсластители-сукралоза,ацесульфам к,ароматизаторы",,,,,
OxyElite Protein,Восстановление,Протеины,США,908,25.0,,1920,,,,,,1080.0,094922426567,,,,,,
Superior Protein Complex,Восстановление,Протеины,Бельгия,2000,67.0,,5420,,,,,,2200.0,,,,,,,
Sport Gainer,Восстановление,Гейнеры,Канада,1520,7.0,,1010,,,,,,1705.0,627933028309,"Натуральная смесь углеводов (мальтодекстрин, высокомолекулярный амилопектин кукурузного крахмала и восковой крахмал ячменя, чистая кристаллическая фруктоза, твердый сок ​​сахарного тростника), сывороточная протеиновая смесь (100% протестированных чистых",,,,,
Hard Mass Gainer,Восстановление,Гейнеры,США,6804,20.0,,5180,,,,,,7325.0,183859102412,,,,,,
Big Mass,Восстановление,Гейнеры,Россия,1800,18.0,,1150,,,,,,2010.0,4603725738645,,,,,,
Protein Drink 60,Нарастить массу,Протеины,Германия,500,1.0,,170,,,,,,,2000000023465,,,,,,
Premium Whey Protein,Восстановление,Протеины,Германия,2300,76.0,,5160,,,,,,2585.0,4044782300411,,,,,,
Whey Protein,Нарастить массу,Протеины,Германия,500,16.0,,0,,,,,,,2000000018812,,,,,,
Whey,Восстановление,Протеины,США,2250,72.0,,6280,,,,,,2570.0,812135020316,,,,,,
CytoGainer,Восстановление,Гейнеры,США,2721,18.0,,4400,,,,,,3040.0,660726220962,,,,,,
Giant Gains,Восстановление,Гейнеры,США,4535,18.0,,4330,,,,,,4675.0,,"Мальтодектрин, модифицированный картофельный крахмал, кукурузный воск, сывороточный протеин концентрат, сывороточный протеин изолят, молочный протеин изолят, молочный протеин концентрат, мицеллярный казеин, кальция казеинат, L-таурин L-лейцин L-глютамин",,,,,
Monster Milk,Нарастить массу,Протеины,США,2014,25.0,,3070,,,,,,2225.0,660726790144,"специальная протеиновая смесь (изолят молочного протеина, изолят сывороточного протеина, концентрат сывороточного протеина, казеинат кальция, казеинат натрия, глютамин, пептиды глютамина, лактоферрин, л-валин, л-лейцин, л-изолейцин), полезные жиры.",,,,,
100% Whey Protein Isolate,Восстановление,Протеины,США,908,30.0,,2880,,,,,,1095.0,815503011787,"изолят сывороточного белка (90% белка), натуральный и искусственный ароматизаторы &quot;ваниль&quot;, ксантановая камедь, сукралоза, ацесульфам-K.",,,,,
Essential Whey,Нарастить массу,Протеины,США,2270,75.0,,2140,,,,,,2605.0,750902201912,,,,,,
Mega Protein 80%,Нарастить массу,Протеины,Германия,500,20.0,,950,,,,,,,2000000021263,,,,,,
Professional Whey,,Протеины,Бельгия,2000,57.0,,4160,,,,,,2215.0,5413767000988,"концентрат сывороточного протеина, гидролизат сывороточного протеина, мальтодекстрин, ароматизатор(ваниль, шоколад), подсластитель: сукралоза. Содержит следы лактозы.",,,,,
Mass Peak Gainer,Восстановление,Гейнеры,США,2250,13.0,,2370,,,,,,2550.0,183859201672,,,,,,
Advanced Whey Protein,Восстановление,Протеины,США,908,28.0,,1440,,,,,,,750902201271,,,,,,
Easy Body Protein,Восстановление,Протеины,Бельгия,20,,,1,,,,,,,,,,,,,
100% Whey Isolate,Восстановление,Протеины,Германия,750,30.0,,1910,,,,,,910.0,,,,,,,
Platinum Iso-Whey,Восстановление,Протеины,США,1500,48.0,,3870,,,,,,1710.0,631656705492,,,,,,
Progain,Восстановление,Гейнеры,США,2000,17.0,,3650,,,,,,2220.0,,,,,,,
Essential 100% Whey,Восстановление,Протеины,США,2250,66.0,,4520,,,,,,2560.0,631656704952,,,,,,
Anabolic Peak Gainer,Восстановление,Гейнеры,США,6800,20.0,,5400,,,,,,4605.0,183859251424,,,,,,
Clean Series Gainers,Восстановление,Гейнеры,США,1460,10.0,,2190,,,,,,1720.0,027434040594,,,,,,
Protein 80 Plus,Восстановление,Протеины,Германия,750,25.0,,1690,,,,,,985.0,4044782301012,,,,,,
MyoFusion Advanced Protein,Нарастить массу,Протеины,США,1800,47.0,,4060,,,,,,2150.0,,"MyoFusion Advanced белковая смесь (концентрат сывороточного протеина, концентрат молочного протеина, изолят сывороточного протеина, мицеллярный казеин, гидролизат сывороточного белка), мальтодекстрин, липидный комплекс (веганские сливки (кокосовое масло, мальтодекстрин, модифицированный пищевой крахмал, моно- и диглицериды, трикальция фосфат), CLA, МСТ), натуральные и искусственные ароматизаторы, целлюлозная камедь, ксантановая камедь, каррагинан, соль, лецитин, лимонная кислота, сукралоза, ацесульфам калия, порошок свеклы, ферменты (протеаза, лактаза).",,,,,
Premium X-Gainer,Восстановление,Гейнеры,Польша,1000,10.0,,790,,,,,,1250.0,5901947661529,,,,,,
Superior Protein Complex,Восстановление,Протеины,Бельгия,750,25.0,,2190,,,,,,890.0,3401551687219,,,,,,
Protein Shake,Восстановление,Напитки,США,500,5.0,,330,,,,,,570.0,4006643142530,,,,,,
Max Protein,Восстановление,Протеины,США,2270,69.0,,2970,,,,,,2350.0,878114016824,"концентрат сывороточного протеина, изолят сывороточного протеина натуральные и искусственные ароматизаторы.",,,,,
Micellar Casein,Нарастить массу,Протеины,Великобритания,1000,22.0,,2090,,,,,,1145.0,8594159534872,,,,,,
Fit Whey Protein,Восстановление,Протеины,Россия,1800,60.0,,2670,,,,,,,,,,,,,
100% Whey Protein,Восстановление,Протеины,Германия,2000,66.0,,3720,,,,,,2500.0,4260399640331,"концентрат сывороточного белка (96,8%), ароматизатор, краситель пищевой, эмульгатор (соевый лецитин), подсластитель (сукралоза, стевиогликозиды), диоксид кремния. Содержит: лактозу и сою; Может содержать следы глютена и яичного белка.",,,,,
Hyper Gain,Восстановление,Гейнеры,США,5400,17.0,,3350,,,,,,5800.0,183859502526,,,,,,
Muscle Milk Gainer,Восстановление,Гейнеры,США,2250,14.0,,2680,,,,,,2575.0,660726500026,,,,,,
Hard Gain Gold Edition,Восстановление,Гейнеры,Германия,4550,31.0,,3830,,,,,,4700.0,2000324762651,"концентрат сывороточного белка, концентрат молочного белка, казеинат кальция, изолят молочного белка, декстроза, мальтодекстрин, фруктоза, искусственные и натуральные ароматизаторы, соль, крахмал, заменитель сахара (цикламат натрия), краситель (бета-каротин",,,,,
Pro Gainer,Восстановление,Гейнеры,Румыния,1300,14.0,,850,,,,,,,6421766023135,,,,,,
Clean Series Whey Protein Isolate,Восстановление,Протеины,США,675,20.0,,1990,,,,,,795.0,027434037235,,,,,,
Whey Protein 81+,Нарастить массу,Протеины,Польша,750,23.0,,1570,,,,,,770.0,5908264416191,,,,,,
Elite Mega Gainer,Восстановление,Гейнеры,США,2800,20.0,,2050,,,,,,3120.0,705016338146,,,,,,
Протеин Monster Milk,Нарастить массу,Протеины,США,997,13.0,,2100,,,,,,1150.0,660726790601,,,,,,
Protein Sensation 81,Восстановление,Протеины,США,908,46.0,,2230,,,,,,1115.0,099071002617,,,,,,
NSP Nitrostack Protein (изолят),Восстановление,Протеины,Германия,750,25.0,,1790,,,,,,920.0,4044782306017,,,,,,
Ultimate Protein,Восстановление,Протеины,Польша,750,18.0,,1520,,,,,,780.0,5901828344145,"регулятор кислотности-лимонная кислота;подсластители-фруктоза, сукралоза;ароматизатор и усилитель вкуса-шоколад,мята-шоколад,шоколад-кунжут,кокос-шоколад и клубника-шоколад; краситель синтетический бета-каротин-белый шоколад,ваниль,банан,груша и карамель Е150с.",,,,,
Протеин Beowulf Casein PRO,Восстановление,Протеины,Россия,1800,60.0,,3790,,,,,,2000.0,4686331029710,"Мицелярный казеин, смесь углеводов (фруктоза, декстроза), витаминная смесь, стевия, эксклюзивный натуральный ароматизатор, для вкуса &amp;quot;клубника&amp;quot; бета-каротин - краситель, для вкуса &amp;quot;банан&amp;quot; куркума - краситель.",,,,,
Fitness Super Mass Gainer,Восстановление,Гейнеры,Беларусь,1000,10.0,,740,,,,,,1100.0,4620020960250,,,,,,
Whey Protein Isolate,Восстановление,Протеины,Бельгия,900,30.0,,1780,,,,,,,,"Микрофильтрованный изолят сывороточного протеина, лецитин, аспартам, бета каротин, ароматизатор.",,,,,
Complete Whey Protein,Нарастить массу,Протеины,США,1000,37.0,,1450,,,,,,,660726000359,"Концентрат сывороточного протеина, гидролизат сывороточного протеина, какао-порошок, натуральные и искусственные ароматизаторы, соль, калий, цукралоза, соевый лецитин.",,,,,
Waterfit Whey Protein,Восстановление,Протеины,Германия,1000,33.0,,1710,,,,,,1105.0,4260044265070,,,,,,
Micelar Casein,Нарастить массу,Протеины,Чехия,2270,75.0,,3670,,,,,,,8590241220135,,,,,,
Premium Isolate 90,Нарастить массу,Протеины,Польша,600,20.0,,1800,,,,,,710.0,5907776170430,"изолят сывороточного белка 90%, ароматизаторы: клубничный, сливки, загуститель: гуммиарабик, регулятор кислотности: лимонная кислота, подсластители, пищевой краситель.",,,,,
100% Whey Isolate Pro Platinum,Нарастить массу,Протеины,США,1364,42.0,,3980,,,,,,1520.0,666222094175,"изолят сывороточного протеина, натуральные и искусственные ароматизаторы, соль, ксантановая смола, ВСАА (лейцин, изолейцин, валин), биогидролаза (протеаза Bacillius sp, протеаза Ananas comosus), сукралоза, ацесульфам калия и соевый лецитин. Информация для аллергиков: содержит молочные, пшеничные и соевые ингредиенты.",,,,,
Protein Peptide,Нарастить массу,Гейнеры,США,1500,,,1290,,,,,,,2000000003092,,,,,,
Soy 80+ Protein,Восстановление,Протеины,Германия,800,26.0,,1760,,,,,,965.0,4044782305119,"изолированный соевый протеин, гуаровая смола, цикламат натрия, ацесульфам калия, натрий сахарин, витамин С, ниацин, пантотеновая кислота, витамин В6, витамин В2, витамин В1, витамин В12.",,,,,
IsoPrime 100% Beef Protein,Нарастить массу,Протеины,США,2000,70.0,,4190,,,,,,2100.0,666222093857,"IsoPrime 100% изолят говяжьего протеина, TasteTech™ система ароматизаторов [натуральные и искусственные ароматизаторы, смесь камедей (целлюлозная, ксантановая, каррагинан), ацесульфам калия, сукралоза].",,,,,
Complete Whey Protein,Нарастить массу,Протеины,США,2270,84.0,,4140,,,,,,2585.0,660726001356,,,,,,
Easy Body Protein Shake,Восстановление,Протеины,Бельгия,330,1.0,,190,,,,,,355.0,5425002403423,"Обезжиренное молоко, вода, концентрированный молочный белок, ароматизатор, подсластитель, ванилин, краситель Е101.",,,,,
Whey Protein Silver Edition,Восстановление,Протеины,Германия,500,20.0,,640,,,,,,,2000000022482,"Сывороточный белковый концентрат (71,5%), сывороточный протеин (19,0%) (содержит соевый лецитин), сладкий сывороточный порошок (3,4%), йогурты порошок (2,0%), кукурузный крахмал (содержит SO2), ароматом (содержит лактозу), регулятор кислотности.",,,,,
CleanSeries Sport Protein,Восстановление,Протеины,США,790,19.0,,2390,,,,,,920.0,027434037259,,,,,,
Monster Protein,Нарастить массу,Протеины,США,900,20.0,,2300,,,,,,1135.0,660726794104,,,,,,
Iso Zero,Восстановление,Протеины,США,900,28.0,,2290,,,,,,1090.0,631656252316,,,,,,
Advantage Gainer,Восстановление,Гейнеры,США,3175,,,2810,,,,,,3500.0,,,,,,,
Mega Gainer,Восстановление,Гейнеры,США,1500,12.0,,940,,,,,,1680.0,705016333356,,,,,,
Mass Effect Gainer,Восстановление,Гейнеры,Германия,2500,33.0,,1580,,,,,,2585.0,,,,,,,
Muscle Protein Drink,Восстановление,Напитки,Германия,500,1.0,,240,,,,,,,4044782302330,"обезжиренное молоко, молочный протеин, сахароза, вкусовые наполнители, стабилизатор, краситель бета-каротин.",,,,,
Easy Body Protein,Восстановление,Протеины,Бельгия,350,17.0,,1160,,,,,,465.0,5425002404857,"Концентрат сывороточного белка (молоко), казеинат кальция (молоко), изолят соевого белка, Фруктоза, загустители Е412 &amp;amp; Е415, ароматизатор, подсластитель E955, витамин В3, витамин В5, витамин В6, Витамин В2, витамин В12",,,,,
Protein 90,Восстановление,Протеины,Германия,2350,94.0,,2470,,,,,,2760.0,,,,,,,
Ab Cuts Sleek&Lean CLA Shake Protein,Восстановление,Протеины,США,480,20.0,,1500,,,,,,605.0,,,,,,,
Low Carb Protein Shake,Восстановление,Напитки,Германия,250,1.0,,190,,,,,,500.0,4044782389638,"Обезжиренное молоко,вода,казеанат кальция,подсластители:цикламат натрия, ацесульфам-К и сахарин натрия, стабилизатор:каррагенан, краситель.",,,,,
CytoGainer,Восстановление,Гейнеры,США,5443,36.0,,7390,,,,,,5550.0,660726220559,"CYTOCARB IIТМ (уникальная комбинация углеводных ветвлений, а также мальтодекстрины с короткой, средней и длинной линейной цепочкой с очень низкой “DE” (декстрозной эквивалентностью) обеспечивает комплексный углеводородный источник приблизительно на 96,5 %",,,,,
Jumbo Professional,Восстановление,Гейнеры,Венгрия,1620,10.0,,2450,,,,,,1855.0,728633103485,,,,,,
Mass,Восстановление,Гейнеры,Венгрия,2250,45.0,,1490,,,,,,2490.0,728633106806,,,,,,
Easy GainMass,Восстановление,Гейнеры,Польша,1000,14.0,,1000,,,,,,1035.0,5908264416917,,,,,,
Clutch Whey Protein,Нарастить массу,Протеины,США,2270,70.0,,2900,,,,,,,2000000023403,,,,,,
Whey Creamy Cocktail,Восстановление,Протеины,Польша,2275,75.0,,4120,,,,,,2360.0,2000324803101,,,,,,
Pro Whey,Восстановление,Протеины,США,908,28.0,,1390,,,,,,1110.0,852263907424,"Сывороточный концентрат, Сывороточный изолят,Сукроза, Лактаза, Подсластитель, L-Таурин, Сукралоза.",,,,,
Crash Weight Gain,Восстановление,Гейнеры,Германия,3000,40.0,,3450,,,,,,3290.0,4044782311028,"мальтодекстрин, фруктоза, обезжиренный молочный порошок, модифицированный крахмал, молочный протеин, изолят соевого протеина, моногидрат креатина 2,6г, мед, лецитин, фосфат калия 1,6г, гидролизат сывороточного протеина, растительное",,,,,
100% Whey,Восстановление,Протеины,США,908,28.0,,2730,,,,,,1075.0,631656252460,"Концентрат сывороточного протеина, изолят сывороточного протеина, гидролизат сывороточного протеина, L-лейцин, L-изолейцин, L-валин, L-глютамин, натуральные и искусственные ароматизаторы, соевый лецитин, целлюлозная смола, ксантановая смола, каррагинан, с",,,,,
Long 80 Multiprotein,Нарастить массу,Протеины,Чехия,2270,75.0,,3980,,,,,,2535.0,8590181220134,,,,,,
Hard Gain silver edition,Восстановление,Гейнеры,Германия,3000,50.0,,2090,,,,,,3190.0,4260175880401,"Декстроза, мальтодекстрин, пшеничный белок, сладкая сыворотка, кукурузный крахмал (содержит SO2), загуститель гуаровая мука, ароматизатор, регулятор кислотности кислота лимонная, краситель красной свеклы, хлорид натрия, эмульгатор",,,,,
Mass Effect Gainer,Восстановление,Гейнеры,Германия,3000,40.0,,3360,,,,,,3265.0,,,,,,,
Superior Gainer,Восстановление,Гейнеры,Германия,1000,13.0,,990,,,,,,,4260399640706,,,,,,
Gainevolution,Восстановление,Гейнеры,Россия,1360,10.0,,850,,,,,,1470.0,4680002391090,,,,,,
HARDCORE MASS GAIN,Восстановление,Гейнеры,Россия,2000,20.0,,1110,,,,,,,4600778006455,,,,,,
Hard Gain Gold Edition,Восстановление,Гейнеры,Германия,3000,30.0,,1230,,,,,,3225.0,,,,,,,
Пробник Real Gains,Восстановление,Гейнеры,США,39,,,50,,,,,,,,,,,,,
Mass Gainer,Восстановление,Гейнеры,США,2720,9.0,,2140,,,,,,2810.0,,"Мальтодекстрин, бета-циклодекстрин, изомальтулоза, пищевой крахмал воскового маиса, изолят молочного протеина, изолят сывороточного протеина, гидролизат сывороточного протеина, креатина моногидрат, L-лейцин, L-изолейцин, L-валин, L-глютамин, порошок какао",,,,,
Freak Fix Protein Matrix,Нарастить массу,Протеины,США,908,14.0,,0,,,,,,,,,,,,,
Whey Protein Concentrate,Нарастить массу,Протеины,США,2500,87.0,,2440,,,,,,,2000000001425,,,,,,
CleanSeries Whey Veggie Protein,Восстановление,Протеины,США,787,22.0,,2190,,,,,,940.0,027434037600,,,,,,
Protein Shot,Нарастить массу,Протеины,США,12,12.0,,200,,,,,,1000.0,4610012150431,"вода, смесь белков (гидролизованный коллаген, изолят сывороточного белка (МОЛОКО), Peptopro (предварительно переваренный белок, (МОЛОКО), регулятор кислотности (лимонная кислота, яблочная кислота), консерванты, красители (карминовая кислота), подсластители (ацесульфам калия, сукралоза, стевиогликозиды), витамины (ниацинамид, кальция пантотенат D, пиридоксин HCL, тиамин HCL, цианокобаламин, биотин).",,,,,
"Гейнер ACADEMY-T Fit Gainer, 1800 г",Восстановление,Гейнеры,Россия,1800,20.0,,1770,,порошок,,,,2060.0,4607055681411,"мальтодекстрин, концентрат белка молочной сыворотки, фруктоза, креатин моногидрат, пищевое волокно гуммиарабик,витамино-минеральный премикс, папаин, ароматизатор,",,,,,
Гейнер QNT Massive Mass 2700 г,"Нарастить массу, Восстановление",Гейнеры,Бельгия,2700,18.0,24.0,2930,,порошок,"без консервантов, без красителей",мужчин и женщин,,2850.0,5404017400306,"Овсяная мука (содержит глютен), концентрат сывороточного белка (содержит молоко, эмульгатор: соевый лецитин (Е322)), декстроза, какао-порошок с пониженным содержанием жира 8%, загуститель: Е412, фруктоза, ароматизатор, подсластитель: Е960, витамины: В2, В3, В5, В6, В12. Содержит молоко, сою и глютен.",,,,,
Protein Shake,Восстановление,Протеины,США,1000,33.0,,1250,,,,,,1135.0,4260044261003,,,,,,
Молочный протеин,Восстановление,Протеины,Россия,3000,60.0,,1470,,,,,,3275.0,2000324764754,,,,,,
Whey Protein Gold Edition,Восстановление,Протеины,Германия,750,25.0,,1130,,,,,,,2000324747795,"Молочный протеин,концентрат сывороточного протеина,яичный протеин, ароматизатор,овсяная мука*(содержит клейковину),карбонат магния, подсластители (ацесульфам K, сукралоза),витамин C,ниацин,витамин E, пантотеновая кислота,витамин B6, витамин B1,краситель бета-каротин, витамин B2,фолиевая кислота,биотин, витамин B12 *может содержать частицы сои, сезама, лесных и миндальных орехов.",,,,,
Combat 100% Isolate,Восстановление,Протеины,США,908,33.0,,3990,,,,,,1095.0,713757327619,,,,,,
Protein Isolate 2,Восстановление,Протеины,США,840,28.0,,1790,,,,,,,2000324777891,"изолят пшеничного белка, натуральные и искусственные ароматизаторы, смесь энзимов, сукралоза, заменитель сахара, ацесульфам калия и соевый лецетин.",,,,,
Protein 80 5 stack,Нарастить массу,Протеины,Германия,750,25.0,,1460,,,,,,1000.0,4260399644506,"концентрат сывороточного белка (96,8%), ароматизатор, краситель пищевой, эмульгатор (соевый лецитин), подсластитель (сукралоза, стевиогликозиды), диоксид кремния. Содержит: лактозу и сою",,,,,
100% Premium Mass Gainer,Восстановление,Гейнеры,США,5400,16.0,,3640,,,,,,5555.0,631656251555,,,,,,
Hard Mass,Восстановление,Гейнеры,Польша,75,,,150,,,,,,100.0,5901828345913,,,,,,
Turbo Weight Gain,Восстановление,Гейнеры,Германия,1000,33.0,,590,,,,,,1000.0,2000000001333,"Мальтодекстрин, декстроза, фруктоза, изолят соевого белка, сывороточный белок, ароматизаторы, загуститель: гуар-гам, смесь витаминов (аскорбиновая кислота, ниацин, альфа-токоферол ацетат, пиридоксин гидрохлорид, тиамин, рибофлавин,",,,,,
Essential 100% Iso Whey,Восстановление,Протеины,США,780,24.0,,2360,,,,,,,631656705430,"Изолированная протеиновая смесь (изолят сывороточного протеина, гидролизованный сывороточный изолят), какао-порошок, натуральные и искусственные ароматизаторы, соевый лецитин, соль, ксантановая камедь, диоксид кремния, сукралоза, ацесульфам калия.",,,,,
Protein 90,Восстановление,Протеины,Германия,830,27.0,,1690,,,,,,985.0,4260044265940,,,,,,
"Протеин FIT-Rx Pro Mix, 900 г",Восстановление,Протеины,Россия,900,30.0,24.0,1420,Многокомпонентный,порошок,,мужчин и женщин,24.0,915.0,4630018860172,"Сывороточный белок, изолят белка жёлтого гороха, изолят соевого белка, какао порошок, пищевые волокна пшеничные, лецитин (эмульгатор), гуаровая камедь (стабилизатор), ксантановая камедь (стабилизатор), ароматизаторы натуральные, кремния диоксид, подсластитель сукралоза",,,,,
CFM Whey Protein,Восстановление,Протеины,Германия,908,30.0,,2740,,,,,,1090.0,4044782303511,,,,,,
100% Whey Protein Professional,Восстановление,Протеины,Германия,2250,75.0,,5800,,,,,,2535.0,4006643178621,"Концентрат сывороточного протеина, гуаровая смола, эмульгатор: соевый лецитин, соль, мальтодекстрин, свекольный порошок, подсластители: цикламат натрия, ацесульфам К, сахарин, растительное масло, витамин B6. Может содержать следы яйца. Содержит лактозу.",,,,,
Delicious Whey Protein,Восстановление,Протеины,Бельгия,20,,,1,,,,,,,,,,,,,
Beowulf Iso Pro (изолят),Восстановление,Протеины,Россия,1800,60.0,,3390,,,,,,2000.0,4635346124941,"Изолят сывороточного протеина, гидролизат сывороточного протеина, Л-Лейцин, Л-Валин, Л-Изолейцин, смесь витаминов, биотин, пантотеновая кислота, фолиевая кислота, стевия, эксклюзивные натуральные ароматизаторы.",,,,,
Protein Big Block,Восстановление,Батончики,Германия,1,1.0,,3040,,,,,,120.0,,"Молочный белок,коллаген гидролизат,увлажняющее средство: глицерин,12% молочный шоколад покрытие (Подсластитель: мальтитол,какао-масло,цельное сухое молоко,какао-масса,эмульгатор: соевые лецитины,ароматизатор),изолят соевого белка,вода,пальмовый жир,3% кокосовые хлопья,ароматизатор,наполнитель: микрокристаллическая целлюлоза,подсластитель: сукралоза. Может содержать следы клейковины и орехов.",,,,,
American Weight Gain,Восстановление,Гейнеры,Германия,1500,50.0,,950,,,,,,,2000000006062,"Мальтодекстрин, 26 % сывороточный белок, фруктоза. декстроза, ароматизаторы, загуститель: гуар-гам, смесь витаминов (аскорбиновая кислота, ниацин, альфа-токоферол ацетат, пиридоксин гидрохлорид, тиамин, рибофлавин, фолиевая кислота, биотин, цианокобаламин",,,,,
Pro Mass,Восстановление,Гейнеры,Румыния,1600,16.0,,790,,,,,,1825.0,6421766040422,"Декстроза, ультрафильтрованый концентрат молочной сыворотки, казеин, мальтодекстрин, ароматизаторы, витамины A, C, B1, B2, B6, D, кальций, магнезий, L-глютамин, аспартам.",,,,,
Whey Protein 80,Восстановление,Протеины,Германия,675,22.0,,1150,,,,,,800.0,4260044260303,"30% изолят сывороточного протеина, 30% концентрат сывороточного протеина, молочный протеин, обогащенный протеином порошок сыворотки, ароматизатор, высушенный яичный белок, магния карбонат, гуаровая смола, растительное масло, натрия цикламат, аспартам.",,,,,
Titanium Beef Supreme,Восстановление,Протеины,США,1800,53.0,,3990,,,,,,2200.0,672898529538,,,,,,
Jumbo Professional,Восстановление,Гейнеры,Венгрия,3240,20.0,,3880,,,,,,3565.0,728633103287,,,,,,
Mass Gain,Восстановление,Гейнеры,Россия,1500,15.0,,1220,,,,,,1730.0,2000324817122,"Концентрат белка молочной сыворотки, фруктоза, сухое молоко, глюкоза, сахар, сублимированные фрукты, ароматизаторы, красители, премикс витаминный (ретинол-ацетат, холекальциферол, альфа-токоферол ацетат, тиамин, рибофлавин, пиридоксин гидрохлорид, цианкобаламин, фолиевая кислота, никотинамид, аскорбат натрия, биотин, пантотеновая кислота), премикс минеральный (железо[II] лактат, цинка гидросульфат, меди сульфат, марганца сульфат, йодид калия, селенид натрия).",,,,,
Soy Protein Isolate,Восстановление,Протеины,США,908,20.0,,1800,,,,,,1100.0,733739021427,"Изолят соевого белка (IP, не-GE), фруктоза, натуральные ароматизаторы, соевый лецитин и морская соль. Содержит сою и молочные производные.",,,,,
HydroPure (гидролизат),Нарастить массу,Протеины,Канада,2040,68.0,,5590,,,,,,2290.0,019962381850,"HYDROPURE™ протеиновая матрица, усиленная ВСАА (HYDROPURE™ гидлизованный изолят сывороточного протеина, L-лейцин, L-изолейцин, L-валин, L-глицин, L-фенилаланин), натуральные и искусственные вкусовые добавки, соль, сукралоза, краситель.",,,,,
"Organic Protein Powder Mix (Микс протеиновых порошков - тыквенный, конопляный, чиа протеин и какао-порошок)",Восстановление,Протеины,Россия,200,16.0,,660,,,,,,,4680016092785,"тыквенный, конопляный, чиа протеин и какао-порошок",,,,,
Protein Professional,Восстановление,Протеины,Германия,2350,47.0,,1990,,,,,,2685.0,,,,,,,
Протеин ACADEMY-T Fit Whey Protein 1800 г,Восстановление,Протеины,Россия,1800,60.0,24.0,2670,,порошок,,мужчин и женщин,,2030.0,4607055681268,,,,,,
Amino Gainer,Восстановление,Гейнеры,Бельгия,1500,13.0,,2160,,,,,,2000.0,3401599314672,"мальтодекстрин, сывороточный протеин, казеинат кальция, декстроза, яичный белок, фруктоза, инозин, холин, l-карнитин тартрат, аспартам, ароматизаторы.",,,,,
Day & Night Casein,Восстановление,Протеины,Германия,1800,72.0,,4390,,,,,,2210.0,4044782312810,"Казеинат кальция,ароматизатор,ацесульфам калия,цикламат натрия,сахарин натрия, хлорид натрия, бета-каротин.",,,,,
Four Star Protein,Восстановление,Протеины,Польша,2000,67.0,,2890,,,,,,,2000874522415,"Высококачественная протеиновая смесь (концентрат мицелярного казеина,растворимый концентрат сывороточного протеина,концентрат молочного протеина,яичный протеин),ароматизаторы, загуститель-ксантовая камедь,подсластители-ацесульфам калия,сукралоза, пищевые энзимы-бромелайн,папаин",,,,,
R1 LBS,Восстановление,Гейнеры,США,2700,10.0,,3780,,,,,,2820.0,858925004371,"углеводная смесь (мальтодекстрин, натуральные рисовые отруби, гороховый крахмал), протеиновая смесь (концентрат сывороточного протеина, изолят сывороточного протеина, гидролизат сывороточного протеина), витамины/минеральная смесь (калия цитрат, цитрат фосфат, трикальцийфосфат , фосфат калия, хлорид натрия, аскорбиновая кислота, железа натрия, пантотеновая кислота, D-альфа токоферола ацетат, ниацинамид, Сульфат цинка, трикальцийфосфат, пиридоксин гидрохлорид, витамин А, оксид меди, тиамина гидрохлорида, рибофлавин, фолиевая кислота, витамин D3, биотин, йодид калия, цианокобаламин), натуральные и искусственные ароматизаторы, лецитин, креатин, гуаровая камедь, триглицериды со средней цепью, L-Глютамин, сукралоза, ацесульфам калия, стевия, Monk Fruit.",,,,,
