name,Цель,Тип,Страна производитель,Количество в упаковке,Количество порций,"Срок годности, мес.",price,Форма выпуска,Диетические особенности,Подходит для,Ингредиенты,"Вес нетто, г",Минералы,Витамины,Штрихкод,Белок: грамм в 1 порции,"Объем, мл",Материал,Форма креатина,Вид транспортной системы,Вид белка
Amino Tech,Восстановление,Аминокислотные комплексы,США,375,62.0,,2770,,,,"сывороточный концентрат, сывороточный гидролизат, соевый изолят, яичный альбумин, дикальция фосфат, стеариновая кислота, стеарат магния, соя-лецитин, витамины, минералы.",690.0,,,039442045348,,,,,,
Ultra Amino,Восстановление,Аминокислотные комплексы,Венгрия,200,100.0,,790,,,,"Ультра- и микрофильтрованный изолят сывороточного протеина, содержащий лактальбумин, лактоглобулин, лактоферрин и протеиновые фракции иммуноглобулина.",245.0,,,728633103607,,,,,,
Аминокислотный комплекс Optimum Nutrition Amino Energy Tea Series 270 г,Восстановление,Аминокислотные комплексы,США,270,30.0,24.0,2630,порошок,"без крахмала, без лактозы, без сахара",мужчин и женщин,"Натрий, Аминокислоты, Кофеин, Экстракт зеленого чая (листья), Экстракт зеленого кофе (бобы).",350.0,,,748927057959,,,,,,
L-Carnitine Fire,Сбросить вес,Карнитин (L-карнитин),США,500,67.0,,1240,,,,"Вода, концентрат апельсинового сока, Л-карнитин, фруктоза, лимонная кислота, экстракт зеленого чая, ароматизатор, консервант сорбат калия, л-аскорбиновая кислота,цикламат натрия, ацесульфам калия и натрия сахарин.",595.0,,,4260044265711,,,,,,
Creatine Monohydrate,Нарастить массу,Креатин моногидрат,Россия,300,120.0,,480,,,,,370.0,,,4607162510246,,,,,,
BCAA Turbo Jet,Восстановление,BCAA,Польша,200,20.0,,1780,,,,"аравийская камедь, натрийкарбоксиметилцеллюлоза, мальтодекстрины, регуляторы кислотности - лимонная кислота, яблочная кислота, ароматизаторы, подсластитель - сукралоза, эмульгатор - соевый лецитин, краситель - азорубин.",270.0,,,5901828348334,,,,,,
BCAA Workout,Восстановление,BCAA,Польша,400,40.0,,1240,,,,,,,,5907368807560,,,,,,
Pro Building 4:1:1 BCAA,Восстановление,BCAA,Румыния,500,125.0,,1590,,,,,,,,6421766099116,,,,,,
Alpha Amino Prototype 216,Восстановление,Аминокислотные комплексы,США,120,,,2330,,,,,305.0,,,631656602272,,,,,,
Amino Fuel tabs 2000 mg,Восстановление,Аминокислотные комплексы,США,150,37.0,,2490,,,,"Гидролизованный изолят сывороточного протеина, L-глютамин, целлюлоза, стеариновая кислота, кроскармеллозный натрий, гидролизат яичного белка, диоксид кремния, L-карнитин L-тартрат, полиэтилен гликоль, carrageenan, мальтодекстрин, вода.",485.0,,,027434002288,,,,,,
Amino 2250,Восстановление,Аминокислотные комплексы,США,240,120.0,,1680,,,,"Amino 2250 аминокислотная смесь (концентрат сывороточного протеина, гидролизованный сывороточный протеин), дикальция фосфат, стеариновая кислота, магния стеарат, пиридоксин HCl.",915.0,,,039442027085,,,,,,
Amino 2000 Whey Supreme,Восстановление,Аминокислотные комплексы,США,300,100.0,,2120,,,,"микро- и ультрафильтрованный сывороточный протеин (протеиновый концентрат и изолят), гидролизат сывороточного протеина (натуральный энзиматический гидролизат), микрокристаллическая целлюлоза, стеарат магния.",,,,099071001160,,,,,,
Amino Essential,Восстановление,Аминокислотные комплексы,Германия,102,17.0,,1730,,,,"L-лейцин, L-лизина гидрохлорид, L-фенилаланин, L-валин, L-изолейцин, L-треонин, L-метионин, L-триптофан, желатин, стеарат магния, диоксид кремния, двуокись титана, Е172.",170.0,,,4044782323915,,,,,,
Amino 4500,Восстановление,Аминокислотные комплексы,Польша,335,112.0,,1980,,,,"концентрат сывороточного протеина, стеариновая кислота, кроскармелоза натрия - носители, стеарат магния - антислеживающий агент. карбоксиметилцеллюлоза натриевая соль - антислеживающий агент,",815.0,,,5901828344121,,,,,,
Amino Decanate,Восстановление,BCAA,США,360,30.0,,2040,,,,,455.0,,,891597002627,,,,,,
L-Arginine 750,Мужское здоровье,Аргинин,Россия,50,50.0,,390,,,,,70.0,,,2000324781171,,,,,,
"Оксид азота Geneticlab Nutrition AAKG powder Natural, 150 г",Мужское здоровье,Оксид азота (NO),Россия,150,30.0,24.0,690,порошок,с сахарозаменителем,мужчин и женщин,"Л-аргинин альфа-кетоглюторат, ароматизатор, лимонная кислота, подсластитель (сукралоза), натуральный краситель аннато.",200.0,,,4603721370443,,,,,,
L-Glutamine Micronized T6,Нарастить массу,Глютамин,Польша,300,75.0,,2090,,,,"вещество, желатин – оболочка капсулы, краситель - диоксид титана, антислеживающий агент - магниевые соли жирных кислот.",330.0,,,5901828344275,,,,,,
L-карнитин Alcar 700,Сбросить вес,Карнитин (L-карнитин),США,88,124.0,,1440,,,,,128.0,,,672898440000,,,,,,
BCAA-Pro Reloaded,Восстановление,BCAA,США,90,90.0,,1210,,,,"Гидроксипропил целлюлоза,кальция карбонат,кремния диоксид,магния стеарат, стеариновая кислота, кроскармеллоза натрия.",160.0,,,672898420408,,,,,,
BCAA 8000 Pink,Восстановление,BCAA,Россия,300,30.0,,1050,,,,"L-Leucine, L-Isoleucine, L-Valine, лимонная кислота (регулятор кислотности), ароматизаторы натуральные и идентичные натуральным, подсластители (ацесульфам калия, сукралоза), краситель пищевой, антислеживающий агент (диоксид кремния).",,,,4631136849681,,,,,,
"Аминокислоты BioTech BCAA Zero, 360 грамм","Нарастить массу, Сбросить вес, Восстановление",BCAA,Венгрия,360,40.0,24.0,1610,порошок,,мужчин и женщин,"L-лейцин, L-валин, L-изолейцин, L-глютамин, ароматизатор, лимонная кислота, антислеживатель (диоксид кремния), подсластители (сукралоза, стевиол гликозиды), соль,пиридоксина гидрохлорид (Витамин B6), красители (тартразин, Понсо 4R)***. *** Может оказывать отрицательное влияние на активность ивнимание детей. Изготовлено на предприятии, произодящем продукты, содержащие молоко, яйца, сою и горчицу.",,,,5999076223435,,,,,,
Aminobolic,Восстановление,Аминокислотные комплексы,США,210,30.0,,1580,,,,"дикальций фосфат, стеариновая кислота, микрокристаллическая целлюлоза, магния стеарат, кроскармеллозный натрий, диоксид кремния, фармацевтическая глазурь.",720.0,,,099071004505,,,,,,
L-Tyrosine,Улучшить выносливость,Тирозин,Россия,100,100.0,,540,,,,,125.0,,,4607162510482,,,,,,
L-Carnitine + vit B5 & vit B6,Сбросить вес,Карнитин (L-карнитин),Германия,20,20.0,,2190,,,,"Вода, сахароза, L-карнитин, глицерин, глюкоза, холин, инозитол, ароматизаторы.",855.0,,,3401526461950,,,,,,
L-Carnitine 1000 Body Shaper,Сбросить вес,Карнитин (L-карнитин),Германия,1000,40.0,,1680,,,,,,,,2000000025643,,,,,,
L-Carnitine 300 мг,Сбросить вес,Карнитин (L-карнитин),США,60,30.0,,490,,,,"Микрокристаллическая целлюлоза, дикальция фосфат, стеариновая кислота, магния стеарат, диоксид кремния.",100.0,,,099071006004,,,,,,
Creatine Fuel Stack,Нарастить массу,Креатин транспорт,США,180,30.0,,1230,,,,"Желатин, стеарат магния, триглицериды со средней цепью, диоксид кремния",325.0,,,027434014250,,,,,,
Amino 2002,Восстановление,Аминокислотные комплексы,США,330,110.0,,1940,,,,"Микро- и ультрафильтрованный сывороточный протеин, гидролизат сывороточного протеина (натуральный энзиматический гидролизат), микрокристаллическая целлюлоза, стеарат магния.",1010.0,,,099071001177,,,,,,
Amino Fuel tabs 1000 mg,Восстановление,Аминокислотные комплексы,США,150,37.0,,1290,,,,"Гидролизованный изолят сывороточного протеина, L-глютамин, микрокристаллическая целлюлоза, растительная стеариновая кислота, кроскармеллозный натрий, гидролизат яичного белка, диоксид кремния, L-карнитин L-тартрат, полиэтилен гликоль, мальтодекстрин",300.0,,,027434016070,,,,,,
HMB 1000,Нарастить массу,HMB,США,90,90.0,,1420,,,,"Желатин, кроскармеллоза",150.0,,,786560508858,,,,,,
Glutamine XS,Нарастить массу,Глютамин,США,300,60.0,,1110,,,,Порошок чистой Л-глютаминовой аминокислоты.,365.0,,,,,,,,,
L-Carnitine 500mg,Сбросить вес,Карнитин (L-карнитин),США,30,30.0,24.0,2030,капсулы,без лактозы,мужчин и женщин,"Желатин, диоксид кремния, стеарат магния, воды.",45.0,,,047469160838,,,,,,
"Креатин Alex Fedorov Nutrition CreatOn, 300 г",Нарастить массу,Креатин моногидрат,Россия,300,30.0,24.0,840,порошок,без пальмового масла,мужчин и женщин,"Креатин моногидрат, L-лейцин, Аргинин, Глютамин, Цитруллин, Витамин С, Витамин Е, Витамин В6, Таурин",250.0,,,4627121420317,,,,креатин моногидрат,аминокислоты,
BCAA Powder 12000,Восстановление,BCAA,США,400,67.0,,1290,,,,"восковая кукуруза, лецитин.",560.0,,,099071004024,,,,,,
Аминокислоты BCAA LevelUp 270 капсул,Восстановление,BCAA,Россия,270,90.0,24.0,940,капсулы,"без ГМО, без ароматизаторов, без консервантов",мужчин и женщин,"Лейцин, валин, изолейцин, желатин.",400.0,,,4600778003591,,,,,,
Карнитин Geneticlab Nutrition Acetyl L-Carnitine 500 мг,Сбросить вес,Карнитин (L-карнитин),Россия,60,60.0,24.0,1390,капсулы,без лактозы,пожилых,"ацетил-L-карнитин, мальтодекстрин, желатин - загуститель, вода, диоксид титана – краситель.",80.0,,,4603743327395,,,,,,
Fitness Super Creatine Monohydrate 100%,Нарастить массу,Креатин моногидрат,Беларусь,300,60.0,,420,,,,,410.0,,,4620020960298,,,,,,
BCAA 6000,Восстановление,BCAA,США,100,17.0,,1780,,,,"L-лейцин, L-валин, L-изолейцин, витамин B6.",155.0,,,3401599318465,,,,,,
W.M.B. AMINO 6300,Восстановление,Аминокислотные комплексы,США,350,58.0,,1160,,,,"изолят сывороточного белка, изолят молочного белка, гидролизат говяжего белка, Сорбит E420, тальк, фосфат кальция, ароматизатор апельсин, ароматизатор мандарин, краситель оранжевый.",720.0,,,2000324777372,,,,,,
Pure L-Glutamine Powder,Нарастить массу,Глютамин,Германия,300,60.0,,1860,,,,,390.0,,,4006643186411,,,,,,
"L-карнитин Doppelherz L-Карнитин + витамин B2, 15 таблеток","Мужское здоровье, Женское здоровье",,Германия,15,15.0,24.0,780,таблетки,без ГМО,мужчин и женщин,"Лимонная кислота (регулятор кислотности Е 330), L-карнитина тартрат (L-карнитин), гидрокарбонат натрия (регулятор кислотности Е 500ii), мальтодекстрин, сорбит (подсластитель Е 420i), инулин, орто-Фосфат кальция 3-замещенный (агент антислеживающий Е 341iii), карбонат натрия (регулятор кислотности Е 500i), крахмал, ароматизатор (лимон), натриевая соль цикламовой кислоты (подсластитель Е 952), сахарин натриевая соль (подсластитель Е 954), натрия рибофлавин 5-фосфат (витамин В2). Содержит подсластитель-сахароспирт, при чрезмерном употреблении может оказывать слабительное действие.",,,B2 (рибофлавин),4009932557329,,,,,,
Pure Creatine Сapsules,Нарастить массу,Креатин моногидрат,Германия,100,33.0,,1190,,,,,160.0,,,4044782317419,,,,,,
Amino Fuel,Восстановление,Аминокислотные комплексы,США,948,21.0,,1590,,,,"очищенная вода, гидролизованный желатин, фруктоза, изолят сывороточного белка, пропилен гликоль, лимонная кислота, мальтодекстрин, гидролизованный яичный белок, целлюлоза, инозитол, холина битартрат, ароматизатор,",1235.0,,,027434016049,,,,,,
Amino 2000,Восстановление,Аминокислотные комплексы,США,150,50.0,,1540,,,,"Гидролизат сывороточного протеина (натуральный энзиматический гидролизат), микрокристаллическая целлюлоза, стеарат магния.",490.0,,,099071001054,,,,,,
Amino Liquid,Восстановление,Аминокислотные комплексы,Германия,500,66.0,,1480,,,,"Вода, гидролизат сывороточного белка, фруктоза, L-аргинин, подкислитель лимонная кислота, L- орнитин, ароматизатор, консервант сорбат калия, заменитель сахара ацесульфам -K, цикламат натрия и сахарин натрия, гидрохлорид пиридоксина.",680.0,,,4260044262536,,,,,,
"Аминокислотный комплекс ACADEMY-T TetrAmin, 200 таблеток","Нарастить массу, Восстановление",Аминокислотные комплексы,Россия,200,25.0,24.0,1790,таблетки,,мужчин и женщин,"гидролизат концентрата белка молочной сыворотки, L-аргинин, L-лизина гидрохлорид, L-орнитина гидрохлорид, пиридоксина гидрохлорид, растворимые пищевые волокна.",375.0,,,4607055681084,,,,,,
Anabolic Amino 5500,Восстановление,Аминокислотные комплексы,Польша,400,67.0,,2490,,,,,,,,5901330024153,,,,,,
Tyrosine,Улучшить выносливость,Тирозин,Польша,60,60.0,,1190,,,,стеарат магния – противослеживающее вещество; желатин – оболочка капсулы.,70.0,,,5901828349690,,,,,,
"Оксид азота Geneticlab Nutrition AAKG powder, 150 г",Мужское здоровье,Оксид азота (NO),Россия,150,30.0,24.0,1260,порошок,с сахарозаменителем,мужчин и женщин,"Л-аргинин альфа-кетоглюторат, ароматизатор, лимонная кислота, подсластитель (сукралоза), натуральный краситель аннато.",200.0,,,4603721370481,,,,,,
Micronized Creatine,Нарастить массу,Креатин моногидрат,Канада,300,60.0,,710,,,,,365.0,,,736211298096,,,,,,
Creatine Pyruvat,Нарастить массу,Креатин транспорт,Швейцария,330,30.0,,4600,,,,"креатин пируват, гидроксипропил метилцеллюлоза (капсула), рисовый крахмал, кремниевая кислота, стеарат магния.",500.0,,,7611174201013,,,,,,
BCAA Fuel,Восстановление,BCAA,США,180,45.0,,1030,,,,,275.0,,,027434031493,,,,,,
BCAA & L-Glutamine,Восстановление,BCAA,Германия,450,41.0,,1890,,,,,550.0,,,4260044266053,,,,,,
Pre Amino,Восстановление,Аминокислотные комплексы,Польша,400,20.0,,1290,,,,,575.0,,,2000324808403,,,,,,
L-Tyrosine Plus,Улучшить выносливость,Аминокислоты отдельные,США,100,100.0,,890,,,,"желатин, диоксид кремния, триглицерид со средней степенью, стеарат магния",90.0,,,027434001724,,,,,,
Карнитин Geneticlab Nutrition L-Carnitine,Сбросить вес,Карнитин (L-карнитин),Россия,60,30.0,12.0,1130,капсулы,без лактозы,мужчин и женщин,"L-Карнитин L-Тартрат, вспомогательные вещества – твердая желатиновая капсула (желатин-загуститель, вода, диоксид титана, оксид железа – красители).",250.0,,,4603743327654,,,,,,
BCAA 1000 mg,Восстановление,BCAA,США,60,30.0,,690,,,,"целюлоза, фосфат дикальция, желатин, стеарат магния.",115.0,,,099071004000,,,,,,
I-BCAA Max,Восстановление,BCAA,США,283,30.0,,2250,,,,,340.0,,,672898420507,,,,,,
Liquid Energy BCAA,Восстановление,BCAA,Швейцария,20,20.0,,4100,,,,,500.0,,,,,,,,,
"Аминокислоты Sport`s Technologies Laboratory BCAA Collagen IPH AVN MAN, 100 таблеток",Восстановление,BCAA,Россия,100,25.0,24.0,938,таблетки,,мужчин и женщин,"BCAA коллаген пептидный комплекс IPH-AVN, L-Лейцин, L-Изолейцин, L-Валин, гидролизат коллагена, пептидный комплекс IPH-AVN, желатин, краситель - диоксид титана (Е171).",,,,4602009474163,,,,,,
Amino Boost Liquid,Восстановление,Аминокислотные комплексы,Великобритания,20,20.0,,2430,,,,"вода, гидролизат пшеничного белка, фруктоза, вишневый сок, гидрохлорид L-орнитина, гидрохлорид L-аргинина, цитриковая к-та, витамин С, подсластитель, консервант сорбат калия, подсластитель цикломат натрия, ацесульфат калия,",850.0,,,5060255350591,,,,,,
Acetyl L-Carnitine 750 mg,Сбросить вес,Карнитин (L-карнитин),США,90,90.0,,2110,,,,"Целлюлоза, стеариновая кислота (растительного источника), диоксид кремния, стеарат магния (растительный источник) и растительного покрытия.",175.0,,,733739000811,,,,,,
BCAA-X,Восстановление,BCAA,Венгрия,330,165.0,24.0,1380,,,,,,,,,,,,,,
HMB 500,Нарастить массу,HMB,Бельгия,120,120.0,,2100,,,,"гидрокси метил масляная кислота (HMB); желатиновая капсула, стабилизаторы: магния стеарат, кремния диоксид; краситель: оксид железа, диоксид титана, азорубин.",105.0,,,5413767000612,,,,,,
Mega Glutamine,Нарастить массу,Глютамин,Венгрия,120,60.0,,1090,,,,"магния стеарат, желатин",240.0,,,5999100001695,,,,,,
L-Carnitine,Сбросить вес,Карнитин (L-карнитин),Германия,80,80.0,,940,,,,,145.0,,,4260044262512,,,,,,
L-Carnitine 2700,Сбросить вес,Карнитин (L-карнитин),Испания,25,25.0,,70,,,,,530.0,,,2000324832668,,,,,,
Maximum BCAA Syntho,Восстановление,BCAA,Германия,120,12.0,,1490,,,,,145.0,,,4044782316214,,,,,,
Креатин GEON CreaStrike 300 г,Нарастить массу,Креатин моногидрат,Россия,300,100.0,24.0,1220,порошок,без пальмового масла,мужчин и женщин,Трикреатина цитрат,300.0,,,4640006011257,,,,креатин цитрат,,
"Креатин BioTech Effervescent Creatine Tabs, 16 таблеток","Нарастить массу, Восстановление",Креатин моногидрат,США,16,8.0,24.0,290,таблетки,,мужчин и женщин,"креатина моногидрат 42%, лимонная кислота, регуляторы кислотности (карбонаты натрия), мальтодекстрин, ароматизатор, подсластитель (сукралоза), красители (карминовая кислота, рибофлавины).",,,,5999076215768,,,,,,
Amino 2500,Восстановление,Аминокислотные комплексы,Бельгия,300,30.0,,2690,,,,"Гидролизат сывороточного белка, целлюлоза, стеариновая кислота, стеарат магния.",950.0,,,3401520634992,,,,,,
100% Egg Amino,Восстановление,Аминокислотные комплексы,США,250,125.0,,2030,,,,"Яичный альбумин, дикальция фосфат, микрокристаллическая целлюлоза, стеариновая кислота, соевый лецитин.",775.0,,,039442045317,,,,,,
Beef Aminos,Восстановление,Аминокислотные комплексы,Венгрия,200,50.0,,990,,,,"Гидролизованные говяжьи протеиновые пептиды, силикатизированная микрокристаллическая целлюлоза [микрокристаллическая целлюлоза, коллоидный диоксид кремния], коллоидный диоксид кремния, стеарат магния.",385.0,,,5999100003941,,,,,,
Amino+Collagen+BCAA,Восстановление,Аминокислотные комплексы,Германия,500,17.0,,1090,,,,,655.0,,,4260044267692,,,,,,
Geneticlab Nutrition Tyrosine capsules 900 мг,Улучшить выносливость,Тирозин,Россия,60,30.0,24.0,1240,капсулы,без лактозы,мужчин и женщин,L-тирозин,60.0,,,4603745370221,,,,,,
L-Carnitine Concentrate,Сбросить вес,Карнитин (L-карнитин),Германия,1000,100.0,,2260,,,,"Очищенная вода, натуральная фруктоза, L-карнитин, лимонная кислота, натуральные и искусственные ароматизаторы, сорбат калия, дикальций пантотенат.",1135.0,,,4006643157930,,,,,,
Creatine flavoured,Нарастить массу,Креатин моногидрат,Германия,500,100.0,,990,,,,,495.0,,,4014871127748,,,,,,
Creatine Powder,Нарастить массу,Креатин моногидрат,Россия,275,50.0,,450,,,,креатина моногидрат.,350.0,,,4600778003560,,,,,,
Amino BCAA 4200 мг,Восстановление,BCAA,Германия,200,66.0,,1390,,,,,535.0,,,4014871053085,,,,,,
Аминокислоты S.A.N. BCAA-Pro Reloaded 114 г,Восстановление,BCAA,США,114,10.0,24.0,1190,порошок,с сахарозаменителем,мужчин и женщин,"L-лейцин, L-изолейцин, L-валин, 	Глутамин (микронизированный), натуральные и искуственные ароматизаторы (краситель из кожицы винограда, мальтодекстрин, токоферол), лимонная кислота, лецитин, сукралоза, ацесульфам калия.",170.0,,,672898420323,,,,,,
L-carnitine Xtreme,Сбросить вес,Карнитин (L-карнитин),США,60,60.0,,750,,,,"Желатин, целлюлоза, диоксид кремния, стеарат магния, диоксид кремния,диоксид титана",100.0,,,705016471607,,,,,,
Amino Gold Capsules,Восстановление,Аминокислотные комплексы,США,250,83.0,,1690,,,,,350.0,,,099071001405,,,,,,
Beef Aminos,Восстановление,Аминокислотные комплексы,Венгрия,500,125.0,,1990,,,,"Гидролизованные говяжьи протеиновые пептиды, силикатизированная микрокристаллическая целлюлоза [микрокристаллическая целлюлоза, коллоидный диоксид кремния], коллоидный диоксид кремния, стеарат магния.",810.0,,,2000324841172,,,,,,
L-Carnitine 500 мг 30 капсул,"Сбросить вес, Улучшить выносливость",Карнитин (L-карнитин),США,30,30.0,730.0,1970,капсулы,"без ГМО, без ароматизаторов, без глютена, без консервантов, без красителей",мужчин и женщин,L-Carnitine 500 мг 30 капсул,,,,733739000705,,,,,,
Creatine X3 Elite,Нарастить массу,Предтренировочные комплексы,Бельгия,1000,20.0,,1440,,,,"Декстроза, мальтодекстрин, противослеживающий агент Е551 &amp;amp; E341, крахмал кукурузы, креатин моногидрат, бета-аланин, таурин, ароматизатор, яблочная кислота, три-креатин цитрат, креатин, витамин С, подсластитель E955, краситель Е124, пиколинат хрома",1140.0,,,5425002405380,,,,,,
Creatine Creapure,Нарастить массу,Креатин моногидрат,Польша,250,42.0,,900,,,,,265.0,,,5908264416153,,,,,,
Креатин Geneticlab Nutrition Creatine Powder 300 г,Нарастить массу,Креатин моногидрат,Россия,300,60.0,24.0,1370,порошок,без пальмового масла,мужчин и женщин,Креатина моногидрат,350.0,,,4603721370191,,,,креатин моногидрат,,
BCAA Xpress,Восстановление,BCAA,Венгрия,500,100.0,,1890,,,,"L-Лейцин, L-Изолейцин, L-Валин",605.0,,,728633100569,,,,,,
"Аминокислоты BioTech Liquid BCAA, 1000 мл, вкус: лимон",Восстановление,BCAA,США,1000,33.0,12.0,1090,жидкость,,мужчин и женщин,"вода, инвертированный сахарный сироп, лимонная кислота, L-лейцин, L-изолейцин, L-валин, L-лизин, Аргинин альфа-кетоглютарат, L-орнитин, пиридоксина гидрохлорид, калия сорбат, ароматизатор, краситель: E110",,,,5999500532515,,,,,,
L-Glutamine,Нарастить массу,Глютамин,Германия,400,80.0,,2150,,,,,485.0,,,4044782314210,,,,,,
Creatine Fuel Powder,Нарастить массу,Креатин моногидрат,США,300,60.0,,690,,,,кремний,340.0,,,027434034586,,,,,,
Креатин Trec Nutrition Creatine Micronized 200 mesh 400 капсул,Нарастить массу,Креатин моногидрат,Польша,400,80.0,24.0,1970,капсулы,без крахмала,мужчин и женщин,"Моногидрат креатина, стеарат магния – противослеживающее вещество, желатин – оболочка капсулы.",460.0,,,5901828341861,,,,креатин моногидрат,,
DAA powder,Мужское здоровье,д-аспарагиновая кислота,Россия,100,100.0,,980,,,,Д-Аспаргиновая кислота,150.0,,,4603721370436,,,,,,
"Аминокислоты BioTech BCAA 3D, 90 капсул",Восстановление,BCAA,США,90,30.0,24.0,690,капсулы,,мужчин и женщин,"растворимое соединение аминокислот ВСАА 82,9% (лейцин, изолейцин, валин,эмульгатор - лецитины), оболочка капсулы (желатин, питьевая вода, красители (диоксид титана, оксиды железа), антислеживатель (диоксид кремния))",,,,5999076219049,,,,,,
"Аминокислотный комплекс BioTechUSA Mega Amino 3200, 100 таблеток","Нарастить массу, Восстановление",Аминокислотные комплексы,США,100,25.0,24.0,560,таблетки,,мужчин и женщин,"Amino Acid Complex (комплекс аминокислот)52%, мальтодекстрин, антислеживатель (диоксид кремния,тальк,целлюлоза,магневые соли жирных кислот), лактоза.",,,,5999076203932,,,,,,
Glutamine Fuel,Нарастить массу,Глютамин,США,120,20.0,,890,,,,"желатин, целлюлоза,стеарат магния, триглицериды со средней цепью, диоксид кремния.",150.0,,,027434004213,,,,,,
Mega Glutamine,Нарастить массу,Глютамин,Венгрия,90,45.0,,790,,,,"магния стеарат, желатин",180.0,,,5999100001701,,,,,,
Whey Aminos,Восстановление,Аминокислотные комплексы,Германия,300,50.0,,2090,,,,"Гидролизат сывороточного протеина, вода, стеарат магния, диоксид кремния.",560.0,,,4044782316610,,,,,,
Аминокислота Solgar L-Lysine 1000 мг 50 таблеток,"Мужское здоровье, Женское здоровье",аминокислота,США,50,50.0,36.0,773,таблетки,без ароматизаторов,мужчин и женщин,"L-лизин гидрохлорид, микрокристаллическая целлюлоза, стеариновая кислота, камедь целлюлозы, гидроксипропилметилцеллюлоза, диоксид кремния, глицерин.",100.0,,,,,,,,,
BCAA Powder,Восстановление,BCAA,Германия,400,40.0,,1890,,,,"Аминокислоты с разветвленной цепью, мальтодекстрин, подкислитель лимонная кислота, регулятор кислотности цитрат натрия, ароматизатор, подсластитель ацесульфам калия и сукралоза, пальмовое масло, разрыхритель диоксид кремния, краситель Е122.",495.0,,,4006643129913,,,,,,
HMB liquid,Нарастить массу,HMB,Польша,100,33.0,,1450,,,,,210.0,,,5901828344374,,,,,,
"Аминокислоты Geneticlab BCAA PRO powder без вкуса, 200 г",Восстановление,BCAA,Россия,200,40.0,24.0,1460,порошок,без сахара,мужчин и женщин,"L-изолейцин, L-валин, L-лейцин",200.0,,,4603721370160,,,,,,
"Аминокислоты Sport`s Technologies Laboratory BCAA Collagen IPH AEN MAN, 100 таблеток",Восстановление,BCAA,Россия,100,25.0,24.0,908,таблетки,,мужчин и женщин,"BCAA коллаген пептидный комплекс IPH-AVN, L-Лейцин, L-Изолейцин, L-Валин, гидролизат коллагена, пептидный комплекс IPH-AVN, желатин, антислеживающий агент - кальция стеарат (Е470).",,,,4602009474132,,,,,,
Amino 2700,Восстановление,Аминокислотные комплексы,США,350,117.0,,2490,,,,"Экстра смесь Amino 2700 (концентрат сывороточного белка, изолят сывороточного белка), дикальция фосфат, стеариновая кислота, лецитин (соя), стеарат магния, пиридоксин HCL",1425.0,,,039442027016,,,,,,
Glutamine Capsules,Нарастить массу,Глютамин,США,100,100.0,,1230,,,,,150.0,,,039442046666,,,,,,
BCAA Softgels,Восстановление,BCAA,США,180,60.0,,1990,,,,"масло соевых бобов, желатин, глицерин, очищенная вода, yellow beeswax, карамельный колер, соевый лецитин, хлорофиллин (для цвета), натрий-медь (для цвета).",425.0,,,099071004062,,,,,,
HMB,Нарастить массу,HMB,Бельгия,120,30.0,,2050,,,,,120.0,,,5420021800963,,,,,,
L-Lysine Pure Powder,Избавление от стресса и депрессии,Аминокислоты отдельные,США,454,822.0,,1780,,,,Нет,540.0,,,733739002402,,,,,,
L-carnitine 1000 mg,Сбросить вес,Карнитин (L-карнитин),США,30,30.0,,690,,,,"Микрокристаллическая целлюлоза, дикальция фосфат, стеариновая кислота, магния стеарат, диоксид кремния.",105.0,,,099071006035,,,,,,
Карнитин Maxler L-Carnitine 3000 25 мл 14 штук,Сбросить вес,Карнитин (L-карнитин),Германия,14,14.0,12.0,1290,ампулы,без лактозы,мужчин и женщин,"вода, L-Карнитин, подкислитель (лимонная Кислота), ароматизатор, консервант (Сорбат Калия), подсластители (цикламат натрия, ацесульфам-К, сахарин), эмульгатор (E471).",530.0,,,4260122321933,,,,,,
Modern Creatine,Нарастить массу,Креатин транспорт,США,186,30.0,,1730,,,,,245.0,,,094922462985,,,,,,
Life Creatine,Нарастить массу,Креатин моногидрат,Россия,400,40.0,,890,,,,,,,,712678876039,,,,,,
BCAA chewable,Восстановление,BCAA,Великобритания,60,30.0,,1690,,,,"L-лейцин, подсластитель (сорбитол), регулятор кислотности (лимонная кислота), подсластитель (изомальтит), L-валин, L-изолейцин, ароматизатор, анти-слеживатель (диоксид кремния), подсластитель (сукралоза), краситель (Е124), пиридоксин гидрохлорид.",355.0,,,5060255351543,,,,,,
"Аминокислоты Alex Fedorov Nutrition BCAA 7500, 300 г",Восстановление,BCAA,Россия,300,30.0,24.0,1190,порошок,с витаминами,мужчин и женщин,"L-изолейцин, L-валин, L-лейцин, цитруллин, витамин С, витамин В6",300.0,,,4627121420294,,,,,,
Super Amino Tabs 2200,Восстановление,Аминокислотные комплексы,Россия,160,26.0,,620,,,,,420.0,,,4607162510192,,,,,,
Amino 1000,Восстановление,Аминокислотные комплексы,США,500,50.0,,2020,,,,"Концентрат сывороточного белка (молоко), желатин (сульфиты), L-орнитин HCl, стеарат магния, лецитин (соя).",575.0,,,039442042385,,,,,,
Aminoz,Восстановление,Аминокислотные комплексы,США,325,54.0,,1920,,,,"микрокристаллиновая целлюлоза, стеарат магния, овощная глазурь.",845.0,,,852263906038,,,,,,
